Reference, Value, Footprint, Datasheet
D1,RED LED,LEDs:LED_1206,
P3,ICSP,Pin_Headers:Pin_Header_Straight_2x03,
R2,200,Resistors_SMD:R_0603,
R3,100,Resistors_SMD:R_0603,
U1,LD1117S33TR,tinybot:SOT-223,
P1,PWR,Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol,
R1,330,Resistors_SMD:R_0603,
JP1,JUMPER,Capacitors_SMD:C_0402,
P4,M1,Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol,
P5,M2,Terminal_Blocks:TerminalBlock_Pheonix_MPT-2.54mm_2pol,
JP2,JUMPER,Capacitors_SMD:C_0402,
C1,0.1uF,Capacitors_SMD:C_0603,
C2,10uF,Capacitors_SMD:C_0603,
D2,LED_RCBG,LEDs:LED-RGB-5MM_Common_Cathode,
F1,FUSE,tinybot:BOURNS_PTC_FUSE_S1,
R4,100,Resistors_SMD:R_0603,
JP3,JUMPER,Capacitors_SMD:C_0402,
P2,Pin Breakout,tinybot:Pin_Header_Straight_1x14,
U2,DRV8835,tinybot:DRV8835,
Q1,NCE3407A,TO_SOT_Packages_SMD:SOT-23,
SW1,SW_PUSH,tinybot:SWITCH_SKQGAKE010,
C3,0.1uF,Capacitors_SMD:C_0603,
C4,10uF,Capacitors_SMD:C_0603,
IC1,ATTINY84A-SS,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,
